text,tidy_text,polarity_score_vader,polarity_score_textblob,label_vader,label_textblob,coordinates
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X3",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X3,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3130797'), Decimal('-37.7575592')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X6",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X6,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3130938'), Decimal('-37.7575219')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X9",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X9,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3130826'), Decimal('-37.7575153')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X13",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X13,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3130834'), Decimal('-37.7574955')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X16",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X16,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124417'), Decimal('-37.7581282')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X17",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X17,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124417'), Decimal('-37.7581282')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X18",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X18,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124417'), Decimal('-37.7581282')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X22",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X22,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124815'), Decimal('-37.7581756')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X23",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X23,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124815'), Decimal('-37.7581756')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X26",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X26,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124815'), Decimal('-37.7581756')]"
"@Nashgrier 
Hey nash 
If you have some spare time could you please follow me?
would mean alot xx
Love you 
X28",Hey nash If you have some spare time could you please follow me? would mean alot xx Love you X28,"(0.0, 0.265)",0.09375,positive,positive,"[Decimal('145.3124815'), Decimal('-37.7581756')]"
ro:ya/ls #openhousemelbourne #curiocity #parliamenthouse 👑✨ @ Parliament Of Victoria http://t.co/1VVqx2T4by,ro:ya/ls #openhousemelbourne #curiocity #parliamenthouse 👑✨ Parliament Of Victoria,"(0.0, 0.223)",0.0,positive,neutral,"[Decimal('144.97317539'), Decimal('-37.81138103')]"
"@Jo_Tovey @j_hutch @smh smacks of  RBA's note printing bungs - v bad abridgment of free press - offshore tweet pals, please email","smacks of RBA's note printing bungs - v bad abridgment of free press - offshore tweet pals, please email","(0.139, 0.223)",-0.1499999999999999,positive,negative,"[Decimal('144.92535237'), Decimal('-37.77392354')]"
Trying to find a degustation in Melbourne that doesn't cost the earth. #10thweddinganniversary,Trying to find a degustation in Melbourne that doesn't cost the earth. #10thweddinganniversary,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.8993445'), Decimal('-37.8616546')]"
"But like, honestly it's not like I holiday much and this is costing me a lot of money so I guess what I'm trying to say is just suck it up.","But like, honestly it's not like I holiday much and this is costing me a lot of money so I guess what I'm trying to say is just suck it up.","(0.22, 0.17)",-0.04999999999999999,negative,negative,"[Decimal('144.84813678'), Decimal('-37.86314214')]"
@TheMaddenBrothers @JoelMadden @benjaminmadden please tell me you're doing a Melbourne show?,please tell me you're doing a Melbourne show?,"(0.0, 0.247)",0.0,positive,neutral,"[Decimal('145.2334035'), Decimal('-37.9973996')]"
"@ Crown's hothouse for young chefs, Culinarium. The pinnacle meal in a long, thrilling week for rising… http://t.co/jGiYiLXuwX","Crown's hothouse for young chefs, Culinarium. The pinnacle meal in a long, thrilling week for rising…","(0.0, 0.171)",0.09999999999999999,positive,positive,"[Decimal('144.95817129'), Decimal('-37.82606274')]"
"Just took two coldral night time tablets. If I'm slumped at the desk, please don't be alarmed.","Just took two coldral night time tablets. If I'm slumped at the desk, please don't be alarmed.","(0.0, 0.224)",0.0,positive,neutral,"[Decimal('144.95391501'), Decimal('-37.81859365')]"
Dear road workers. Please stop messing with our water. We 3 in this house kinda like to shower!,Dear road workers. Please stop messing with our water. We 3 in this house kinda like to shower!,"(0.093, 0.314)",0.0,positive,neutral,"[Decimal('145.29551691'), Decimal('-38.08192779')]"
@D711NatalieGC @Ticketek_AU @Maddenbrothers the prices are up... but they are only playing a queensland show :(,the prices are up... but they are only playing a queensland show :(,"(0.226, 0.129)",-0.375,negative,negative,"[Decimal('145.2334099'), Decimal('-37.9976202')]"
"We'll done Charlotte!!!  Bottle number 3.  Just for buying @AlmondMilkCo flat white, and filling in her details http://t.co/QPy3ZVanyg","We'll done Charlotte!!! Bottle number 3. Just for buying flat white, and filling in her details","(0.0, 0.127)",-0.0125,positive,negative,"[Decimal('144.95728603'), Decimal('-37.81714796')]"
"Smooch Records release party with Smile, Rat &amp; Co and Mouth Tooth Studio and record label Smooch... http://t.co/GeGqXF6Zb6","Smooch Records release party with Smile, Rat &amp; Co and Mouth Tooth Studio and record label Smooch...","(0.0, 0.257)",0.3,positive,positive,"[Decimal('144.9652278'), Decimal('-37.8125269')]"
"It's so flat in Melbourne, my city is like bloody Everest compared to this.","It's so flat in Melbourne, my city is like bloody Everest compared to this.","(0.167, 0.144)",-0.41250000000000003,negative,negative,"[Decimal('144.9616443'), Decimal('-37.824649')]"
@jsls315 lol. Sweaty palms. Just a weak grounder please!!!,lol. Sweaty palms. Just a weak grounder please!!!,"(0.209, 0.431)",0.03378906250000002,positive,positive,"[Decimal('145.15917421'), Decimal('-37.91546462')]"
"Adventure time makes housework sooo much more tolerable, even if I've seen the episode a million times #thefunwillneverend #itsadventuretime","Adventure time makes housework sooo much more tolerable, even if I've seen the episode a million times #thefunwillneverend #itsadventuretime","(0.0, 0.113)",0.5,positive,positive,"[Decimal('144.94859254'), Decimal('-37.82427097')]"
Dear @salmat please take me off your database. I'm asking nicely :),Dear please take me off your database. I'm asking nicely :),"(0.0, 0.607)",0.55,positive,positive,"[Decimal('145.2939405'), Decimal('-37.86755773')]"
@DaBaeDotCom what's wrong? Hunt please tell me :((((,what's wrong? Hunt please tell me :((((,"(0.298, 0.221)",-0.625,negative,negative,"[Decimal('145.03442943'), Decimal('-37.68193469')]"
"Money for jam; half price toothpaste, gotta smile at that! #coles #moneyforjam #bargain @ Coles Rowville http://t.co/rsBepaI4Yj","Money for jam; half price toothpaste, gotta smile at that! #coles #moneyforjam #bargain Coles Rowville","(0.0, 0.261)",0.10416666666666667,positive,positive,"[Decimal('145.23720711'), Decimal('-37.92074921')]"
"When we choose to go organic we do it properly, and with the good stuff at the right price! Luke's is… http://t.co/LT4dhBBccn","When we choose to go organic we do it properly, and with the good stuff at the right price! Luke's is…","(0.0, 0.138)",0.3523809523809523,positive,positive,"[Decimal('144.91263595'), Decimal('-37.77853365')]"
I seriously cannot wait to not live in a shared house anymore. #annoyed,I seriously cannot wait to not live in a shared house anymore. #annoyed,"(0.257, 0.144)",-0.26717171717171717,negative,negative,"[Decimal('145.22553407'), Decimal('-37.84636941')]"
"@channeltennews - ""violent men""? How about violent women? Who kills more children in Australia, men or women? Honesty please?","- ""violent men""? How about violent women? Who kills more children in Australia, men or women? Honesty please?","(0.399, 0.179)",-0.3666666666666667,negative,negative,"[Decimal('144.82287377'), Decimal('-37.79142728')]"
When the boss asks you to fly to Fiji tomorrow - you fly to Fiji tomorrow #bula #worseplacestowork #beersoniceplease #fijiinternational,When the boss asks you to fly to Fiji tomorrow - you fly to Fiji tomorrow #bula #worseplacestowork #beersoniceplease #fijiinternational,"(0.0, 0.0)",0.8,neutral,positive,"[Decimal('144.98103029'), Decimal('-37.86812364')]"
AWS meet up packed house. (at @YorkButter Factory) https://t.co/p5haeFJJoi,AWS meet up packed house. (at Factory),"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.956903'), Decimal('-37.818797')]"
@harrysassbuddy @cocopuffliam they live in te cutest houses and flats omfg,they live in te cutest houses and flats omfg,"(0.0, 0.322)",0.13636363636363635,positive,positive,"[Decimal('145.03457417'), Decimal('-37.68186168')]"
Please !  #SmallzyHookMeUp,Please ! #SmallzyHookMeUp,"(0.0, 0.564)",0.0,positive,neutral,"[Decimal('145.27235879'), Decimal('-37.9257135')]"
Denise Drysdale! @ABC2 @Please_like_me cannot wait!,Denise Drysdale! cannot wait!,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.94583509'), Decimal('-37.75444496')]"
Just slowed down on Chapel Street to allow a rat to cross the road... You best not end up in my apartment.,Just slowed down on Chapel Street to allow a rat to cross the road... You best not end up in my apartment.,"(0.0, 0.234)",0.2814814814814815,positive,positive,"[Decimal('144.9921642'), Decimal('-37.84667111')]"
"As mad as #Abbott: ""@wikileaks: 6,938,157 pounds it cost to keep Julian Assange under 24/7 house arrest http://t.co/UlthvLTFIG""","As mad as #Abbott: "": 6,938,157 pounds it cost to keep Julian Assange under 24/7 house arrest ""","(0.259, 0.0)",-0.3375,negative,negative,"[Decimal('145.2662416'), Decimal('-37.8389804')]"
seriously is this a joke i'm suppose to understand please explain it to me,seriously is this a joke i'm suppose to understand please explain it to me,"(0.099, 0.262)",-0.3333333333333333,positive,negative,"[Decimal('145.09836834'), Decimal('-37.60920519')]"
@guardianstage @TheRSC Can I please have the coat? Anything for Douglas Richardson 😊 xxx,Can I please have the coat? Anything for Douglas Richardson 😊 xxx,"(0.0, 0.39)",0.0,positive,neutral,"[Decimal('145.01880817'), Decimal('-37.87070132')]"
#The1975OnBumpShow pleaseeee,#The1975OnBumpShow pleaseeee,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.94963875'), Decimal('-37.74978443')]"
#The1975OnBumpShow please and thank you 💕,#The1975OnBumpShow please and thank you 💕,"(0.0, 0.695)",0.0,positive,neutral,"[Decimal('144.94960883'), Decimal('-37.74977496')]"
"@biahanoiAU if you are going to visit us soon, please advise me. Would love to cook for u.","if you are going to visit us soon, please advise me. Would love to cook for u.","(0.0, 0.302)",0.5,positive,positive,"[Decimal('145.0012787'), Decimal('-37.8096876')]"
Great condom selection at the Tiger Airways domestic terminal bathrooms in Melbourne. Stay classy guys.,Great condom selection at the Tiger Airways domestic terminal bathrooms in Melbourne. Stay classy guys.,"(0.0, 0.35)",0.3,positive,positive,"[Decimal('144.84909153'), Decimal('-37.67321112')]"
"#thegreatfragmentation book launch @secretshq home. 
There is Ethan Hawk DNA in this apartment #true #miff http://t.co/aSejy1At2f",#thegreatfragmentation book launch home. There is Ethan Hawk DNA in this apartment #true #miff,"(0.0, 0.177)",0.35,positive,positive,"[Decimal('144.96206004'), Decimal('-37.81367247')]"
@bumpshow @the1975 #The1975OnBumpShow god please I have had about 5 hours sleep since Saturday.,#The1975OnBumpShow god please I have had about 5 hours sleep since Saturday.,"(0.0, 0.306)",0.0,positive,neutral,"[Decimal('145.21823286'), Decimal('-37.88573873')]"
I'm still laughing about the weed thing &amp; telling everyone in my house. #The1975OnBumpShow,I'm still laughing about the weed thing &amp; telling everyone in my house. #The1975OnBumpShow,"(0.0, 0.198)",0.0,positive,neutral,"[Decimal('145.31952811'), Decimal('-38.00439317')]"
@mike_caridi if sem was 2 years younger he would be short priced fave.,if sem was 2 years younger he would be short priced fave.,"(0.0, 0.209)",0.0,positive,neutral,"[Decimal('144.9186553'), Decimal('-37.7549455')]"
Someone see me this weekend please,Someone see me this weekend please,"(0.0, 0.315)",0.0,positive,neutral,"[Decimal('145.34144738'), Decimal('-37.90671266')]"
@TheBachelorAU please been on long enough it's @Offspringtvshow it's meant to be on 33 mins ago hurry up I will be complain to channel TEN,please been on long enough it's it's meant to be on 33 mins ago hurry up I will be complain to channel TEN,"(0.097, 0.089)",-0.016666666666666666,negative,negative,"[Decimal('144.37785854'), Decimal('-38.03117486')]"
"@FOXSportsNews @brisbaneroar By not calling themselves the Bugs, Moreton Bay Unuted are really letting themselves, and Australia down...","By not calling themselves the Bugs, Moreton Bay Unuted are really letting themselves, and Australia down...","(0.0, 0.0)",0.022222222222222213,neutral,positive,"[Decimal('144.9904622'), Decimal('-37.8671959')]"
@adamajacoby please get off twitter and focus on @TheBachelorAU,please get off twitter and focus on,"(0.0, 0.277)",0.0,positive,neutral,"[Decimal('145.017129'), Decimal('-37.91144196')]"
Continue to be amazed at the power of the natural #talents profiles I now use to release signature #strengths at work http://t.co/N2tp3SUnjB,Continue to be amazed at the power of the natural #talents profiles I now use to release signature #strengths at work,"(0.0, 0.401)",0.1,positive,positive,"[Decimal('144.98919238'), Decimal('-37.38817752')]"
Paddle beer - Drinking a LO-FI by @tuataranz @ The Local Taphouse  — http://t.co/Q3M7pUCQUA,Paddle beer - Drinking a LO-FI by The Local Taphouse —,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.99'), Decimal('-37.8683')]"
@MarionGroves @JoelSilverTalk Hamas human shields vs summary executions and beheadings? Please. Why only condemnation for the former?,Hamas human shields vs summary executions and beheadings? Please. Why only condemnation for the former?,"(0.214, 0.118)",0.0,negative,neutral,"[Decimal('145.01273944'), Decimal('-37.86668327')]"
@Kittiemenace apparently not. Nobody values the priceless.,apparently not. Nobody values the priceless.,"(0.311, 0.0)",0.4875,negative,positive,"[Decimal('144.8938876'), Decimal('-37.8204185')]"
Ugh said flatmate can not make brownies. #frownies,Ugh said flatmate can not make brownies. #frownies,"(0.286, 0.0)",0.0,negative,neutral,"[Decimal('144.97831576'), Decimal('-37.78392866')]"
Can anyone please let me borrow some headphones tomorrow I have an incredibly boring day,Can anyone please let me borrow some headphones tomorrow I have an incredibly boring day,"(0.145, 0.129)",-1.0,negative,negative,"[Decimal('144.70709199'), Decimal('-37.57060929')]"
Paddle beer - Drinking an iStout by @8wiredbrewing @ The Local Taphouse  — http://t.co/zXbyiE8dFP,Paddle beer - Drinking an iStout by The Local Taphouse —,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.99'), Decimal('-37.8683')]"
Paddle beer - Drinking a Shawn's Fault India Black Ale by @murraysbrewing @ The Local Taphouse  — http://t.co/MENa82sy8b,Paddle beer - Drinking a Shawn's Fault India Black Ale by The Local Taphouse —,"(0.162, 0.0)",-0.08333333333333333,negative,negative,"[Decimal('144.99'), Decimal('-37.8683')]"
@shaunntang hahaha aww! When's your house warming partaaaay ✨,hahaha aww! When's your house warming partaaaay ✨,"(0.0, 0.609)",0.2875,positive,positive,"[Decimal('144.96342125'), Decimal('-37.80411182')]"
@_5SOSHelp_ pretty please?!,pretty please?!,"(0.0, 1.0)",0.3125,positive,positive,"[Decimal('145.15147183'), Decimal('-37.94075377')]"
@VictoriaJustice please follow me please,please follow me please,"(0.0, 0.697)",0.0,positive,neutral,"[Decimal('144.91901394'), Decimal('-37.75863772')]"
@toastling @blackadlerqueen I am about to wake up my housemate from laughing too hard!,I am about to wake up my housemate from laughing too hard!,"(0.094, 0.234)",-0.36458333333333337,positive,negative,"[Decimal('145.2093801'), Decimal('-37.8145891')]"
They should definitely create a 9th spot for @jeff_riseley in the final. That clearly  cost him at least 3rd. Very 'unfriendly' #Glasgow2014,They should definitely create a 9th spot for in the final. That clearly cost him at least 3rd. Very 'unfriendly' #Glasgow2014,"(0.102, 0.275)",9.25185853854297e-18,positive,positive,"[Decimal('144.98996229'), Decimal('-37.87042533')]"
@ibblyobbly the thing last week abut being able to break the transfer record was just to push the share price before this sale #noplayers,the thing last week abut being able to break the transfer record was just to push the share price before this sale #noplayers,"(0.0, 0.091)",0.25,positive,positive,"[Decimal('145.3109932'), Decimal('-37.8105661')]"
"Roundhouse, @roundhouseldn is now trending in #Melbourne http://t.co/V1EvVfTorv","Roundhouse, is now trending in #Melbourne","(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.963'), Decimal('-37.8143')]"
@gesagua or use it more efficiently. Recycling is not always the most cost efficient answer.,or use it more efficiently. Recycling is not always the most cost efficient answer.,"(0.0, 0.336)",0.5,positive,positive,"[Decimal('144.98187587'), Decimal('-37.84119471')]"
What the......a guy house-sitting for a couple on holidays left this note on their kitchen table! 😂 http://t.co/8XBaJzo04i,What the......a guy house-sitting for a couple on holidays left this note on their kitchen table! 😂,"(0.071, 0.252)",0.0,positive,neutral,"[Decimal('144.99598057'), Decimal('-37.83720242')]"
When the hot water stops working after your bikram yoga class &amp; you're left running around the house in a towel trying fix it. #sweatylife,When the hot water stops working after your bikram yoga class &amp; you're left running around the house in a towel trying fix it. #sweatylife,"(0.062, 0.0)",0.125,negative,positive,"[Decimal('144.9598174'), Decimal('-37.8182564')]"
"@MelissaLDavey -all Bolt's done is showed the Hirsts tweets. Right of reply, to what? Please tell. Disgraceful he is not sacked.","-all Bolt's done is showed the Hirsts tweets. Right of reply, to what? Please tell. Disgraceful he is not sacked.","(0.0, 0.108)",0.2857142857142857,positive,positive,"[Decimal('144.8228756'), Decimal('-37.79141911')]"
Arghhhh I fucking hate it when im nice and warm in bed reading.. and the house phone rings... I run for it and its a bloody telemarketer 😠,Arghhhh I fucking hate it when im nice and warm in bed reading.. and the house phone rings... I run for it and its a bloody telemarketer 😠,"(0.262, 0.121)",-0.10000000000000003,negative,negative,"[Decimal('145.2334165'), Decimal('-37.9975083')]"
"Another cheapie, ffs please stop. #LFC #YNWA","Another cheapie, ffs please stop. #LFC #YNWA","(0.488, 0.187)",0.0,negative,neutral,"[Decimal('144.82338796'), Decimal('-37.85746337')]"
"@KezNoo: #pcvconf14 #quote of the day ""health is so hierarchical it makes the Defence dept look flat"" #healthcare by @JulieMcCrossin",": #pcvconf14 #quote of the day ""health is so hierarchical it makes the Defence dept look flat"" #healthcare by","(0.0, 0.072)",-0.025,positive,negative,"[Decimal('144.97384277'), Decimal('-37.83732678')]"
